x,y,vx,vy,I,L,R,J,LJ,RJ
0,0,0,0,0,0,0,0,0,0
0,0,0,1,-2.3662472,-2.4988017,-2.4327185,-2.2989304,-2.4188976,-2.5189216
0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,1,-1.8927792,-2.0342855,-1.9797887,-1.800309,-1.8816609,-2.078661
0,0,1,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,0,2,1,-2.4243,-2.4646783,-2.8215337,-2.553765,-2.4512634,-2.7081296
0,0,2,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,2,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0
0,2,0,0,0.8011533,0,0,0,0,0
0,2,0,1,0,0,0,0,0,0
0,2,0,2,0,0,0,0,0,0
0,2,1,0,-3.923209,0,0,0,0,0.03719635
0,2,1,1,-0.10696451,0,0,0,0,1.4849966
0,2,1,2,0,0,0,0,0,0
0,2,2,0,2.8131053,0,0,0,0,-16.721693
0,2,2,1,0,0,0,0,0,0
0,2,2,2,0,0,0,0,0,20.314093
0,3,0,0,-39.720776,0,0,0,0,-18.887287
0,3,0,1,0,0,0,0,0,0
0,3,0,2,0,0,0,0,0,0
0,3,1,0,0.47000003,0,0,0,0,-8.347342
0,3,1,1,0,0,0,0,0,0
0,3,1,2,0,0,0,0,0,0
0,3,2,0,0,0,0,0,0,-8.763582
0,3,2,1,0,0,0,0,0,0
0,3,2,2,0,0,0,0,0,6.083757
0,4,0,0,0,0,0,0,0,0
0,4,0,1,0,0,0,0,0,0
0,4,0,2,0,0,0,0,15.07131,0
0,4,1,0,0,0,0,0,0,0
0,4,1,1,0,0,0,0,0,0
0,4,1,2,0,0,0,0,13.351302,0
0,4,2,0,0,0,0,0,0,-55.956303
0,4,2,1,0,0,0,0,0,0
0,4,2,2,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0
0,5,0,1,0,0,0,0,0,0
0,5,0,2,0,0,0,0,5.0222654,0
0,5,1,0,0,0,0,0,-21.732983,-19.918833
0,5,1,1,0,0,0,0,-0.32536012,0
0,5,1,2,0,0,0,0,26.530231,0
0,5,2,0,0,0,0,0,0,-19.295721
0,5,2,1,0,0,0,0,0,0
0,5,2,2,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0
0,6,0,1,0,0,0,0,0,0
0,6,0,2,0,0,0,0,0,0
0,6,1,0,0,0,0,0,0,-11.331104
0,6,1,1,0,0,0,0,0,-0.2723816
0,6,1,2,0,0,0,0,26.509481,0
0,6,2,0,0,0,0,0,0,-64.4087
0,6,2,1,0,0,0,0,0,0
0,6,2,2,0,0,0,0,0,0
0,7,0,0,0,-8.645446,0,0,0,0
0,7,0,1,0,0,0,0,0,0
0,7,0,2,0,0,0,3.4995522,0,0
0,7,1,0,0,-20.410301,0,0,0,-15.23293
0,7,1,1,0,0,0,0,0,0
0,7,1,2,0,0,0,0,0,0
0,7,2,0,0,0,-28.499214,0,0,-25.873579
0,7,2,1,0,0,0,0,0,0
0,7,2,2,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0
0,8,0,1,0,0,0,0,0,0
0,8,0,2,0,0.95618093,0,3.1238673,0,0
0,8,1,0,0,-4.5216618,-12.083226,-7.084278,0,-10.035738
0,8,1,1,0,0,0,0,0,0
0,8,1,2,0,0,0,10.875231,0,0
0,8,2,0,0,0,-11.714087,0,0,-15.51977
0,8,2,1,0,0,0,0,0,0
0,8,2,2,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0
0,9,0,1,0,0,0,0,0,0
0,9,0,2,0,0,0,0,0,0
0,9,1,0,0,0,0,0,0,0
0,9,1,1,0,0,0,0,0,0
0,9,1,2,0,0,0,0,0,0
0,9,2,0,0,0,0,0,0,0
0,9,2,1,0,0,0,0,0,0
0,9,2,2,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0
0,10,0,1,0,0,0,0,0,0
0,10,0,2,0,0,0,0,0,0
0,10,1,0,1,0,0,0,0,0
0,10,1,1,0,0,0,0,0,0
0,10,1,2,0,0,0,0,0,0
0,10,2,0,5.5197983,0,0,0,0,0
0,10,2,1,2.0692902,0,0,0,0,0
0,10,2,2,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0
0,11,0,1,0,0,0,0,0,0
0,11,0,2,0,0,0,0,0,0
0,11,1,0,12.8148775,0,0,0,0,0
0,11,1,1,0,0,0,0,0,0
0,11,1,2,0,0,0,0,0,0
0,11,2,0,0,0,0,0,0,0
0,11,2,1,0,0,0,0,0,0
0,11,2,2,0,0,0,0,0,0
0,12,0,0,2.2800002,0,0,0,0,0
0,12,0,1,0,0,0,0,0,0
0,12,0,2,0,0,0,0,0,0
0,12,1,0,1.1,0,0,0,0,0
0,12,1,1,0,0,0,0,0,0
0,12,1,2,0,0,0,0,0,0
0,12,2,0,0,0,0,0,0,0
0,12,2,1,0,0,0,0,0,0
0,12,2,2,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0
0,13,0,1,0,0,0,0,0,0
0,13,0,2,0,0,0,0,0,0
0,13,1,0,0,0,0,0,0,0
0,13,1,1,0,0,0,0,0,0
0,13,1,2,0,0,0,0,0,0
0,13,2,0,0,0,0,0,0,0
0,13,2,1,0,0,0,0,0,0
0,13,2,2,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0
0,14,0,1,0,0,0,0,0,0
0,14,0,2,0,0,0,0,0,0
0,14,1,0,0,0,0,0,0,0
0,14,1,1,0,0,0,0,0,0
0,14,1,2,0,0,0,0,0,0
0,14,2,0,0,0,0,0,0,0
0,14,2,1,0,0,0,0,0,0
0,14,2,2,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0
0,15,0,1,0,0,0,0,0,0
0,15,0,2,0,0,0,0,0,0
0,15,1,0,0,0,0,0,0,0
0,15,1,1,0,0,0,0,0,0
0,15,1,2,0,0,0,0,0,0
0,15,2,0,0,0,0,0,0,0
0,15,2,1,0,0,0,0,0,0
0,15,2,2,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0
0,16,0,1,0,0,0,0,0,0
0,16,0,2,0,0,0,0,0,0
0,16,1,0,0,0,0,0,0,0
0,16,1,1,0,0,0,0,0,0
0,16,1,2,0,0,0,0,0,0
0,16,2,0,0,0,0,0,0,0
0,16,2,1,0,0,0,0,0,0
0,16,2,2,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0
0,17,0,1,0,0,0,0,0,0
0,17,0,2,0,0,0,0,0,0
0,17,1,0,0,0,0,0,0,0
0,17,1,1,0,0,0,0,0,0
0,17,1,2,0,0,0,0,0,0
0,17,2,0,0,0,0,0,0,0
0,17,2,1,0,0,0,0,0,0
0,17,2,2,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0
0,18,0,1,0,0,0,0,0,0
0,18,0,2,0,0,0,0,0,0
0,18,1,0,0,0,0,0,0,0
0,18,1,1,0,0,0,0,0,0
0,18,1,2,0,0,0,0,0,0
0,18,2,0,0,0,0,0,0,0
0,18,2,1,0,0,0,0,0,0
0,18,2,2,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0
0,19,0,1,0,0,0,0,0,0
0,19,0,2,0,0,0,0,0,0
0,19,1,0,0,0,0,0,0,0
0,19,1,1,0,0,0,0,0,0
0,19,1,2,0,0,0,0,0,0
