x,y,vx,vy,I,L,R,J,LJ,RJ
0,0,0,0,0,0,0,0,0,0
0,0,0,1,16.242643,42.125336,26.639725,14.114888,50.922054,53.82804
0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,1,-12.033896,-12.053366,-12.663028,-12.627654,-9.743187,-12.254593
0,0,1,2,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0
0,0,2,1,-15.183844,-17.35636,-15.241008,-13.16534,-8.812911,-14.359718
0,0,2,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,2,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0,0,0
0,1,2,2,0,0,0,0,0,0
0,2,0,0,-0.4359563,23.37976,0,8.701301,17.454525,1.6648674
0,2,0,1,0,0.77400315,0,0,0,4.0100265
0,2,0,2,0.95276177,7.3880687,0,2.6948204,2.5701833,1.1213634
0,2,1,0,27.314556,55.229042,11.218453,21.645521,15.121099,0.6826206
0,2,1,1,8.716283,52.685154,5.907818,12.058924,9.015404,0.17607546
0,2,1,2,1.4966516,0.072448075,0,13.725912,8.22416,-0.5660209
0,2,2,0,0.44068238,0,8.581043,1.8022981,0,4.7422457
0,2,2,1,5.3226094,0,0,0,-0.090441845,0
0,2,2,2,0,-0.018400207,0,0,-0.53161645,1.989468
0,3,0,0,2.128285,6.0184693,0,1.3257341,0.40009284,0.8302163
0,3,0,1,0,0,0,0,0,0
0,3,0,2,0,4.3955703,0,3.8891342,13.910287,3.2421248
0,3,1,0,0.20042019,23.39157,4.5399113,9.756471,2.8905978,-0.29930457
0,3,1,1,0,-0.15041687,0,0.11642464,0,0
0,3,1,2,6.611982,9.183204,0,22.288685,13.312264,2.5402853
0,3,2,0,0,0,-0.5775839,-0.4754866,-2.138053,-1.2309244
0,3,2,1,0,0,0,0,0,0
0,3,2,2,0.51022047,0.69439703,0,0,1.8876855,5.349698
0,4,0,0,0,-0.984876,0,0.68082523,0.48891896,0
0,4,0,1,0,0,0,0,0,0
0,4,0,2,0.19550943,0,0,8.552425,3.4945984,8.550627
0,4,1,0,0.12724578,-4.686716,-1.2113197,-1.2587636,2.2989712,-1.2164817
0,4,1,1,0,0,0,0,0,0
0,4,1,2,8.944977,3.80148,4.037979,16.479235,8.324217,5.2036176
0,4,2,0,-1.4257342,-1.3926555,-2.3832467,-1.296792,-1.2402482,-2.1518002
0,4,2,1,0,0,0,0,0,0
0,4,2,2,0,0,1.2410462,1.4849961,0,2.8728218
0,5,0,0,0,3.3000388,0,0,1.3874943,0
0,5,0,1,0,0.30850115,0,0,0,1.8629754
0,5,0,2,0.08553606,2.9578543,0,4.1114216,3.0916135,2.0148027
0,5,1,0,-2.8152854,-3.5239663,-2.8275506,-3.6117723,-4.015521,-2.8115437
0,5,1,1,-0.20093131,-0.16248353,0,-2.7777288,-1.0611627,-0.1555072
0,5,1,2,-0.6138296,0.02451685,0,6.3991637,3.4923944,-0.9093965
0,5,2,0,-0.1430145,0,-1.524001,-0.55507445,-0.30457744,-2.2726138
